Caudal (Q) [m3/s],Tirante (H) [m],Tramo
0.0,0.6000000000000001,Tramo 1 (Canal)
0.0022416110006300495,0.611369696969697,Tramo 1 (Canal)
0.010005828362694409,0.622739393939394,Tramo 1 (Canal)
0.02394577055947024,0.634109090909091,Tramo 1 (Canal)
0.044397391282193506,0.645478787878788,Tramo 1 (Canal)
0.07157152691685241,0.6568484848484849,Tramo 1 (Canal)
0.10560722667028964,0.6682181818181819,Tramo 1 (Canal)
0.14659582765975443,0.6795878787878789,Tramo 1 (Canal)
0.1945941475569573,0.6909575757575759,Tramo 1 (Canal)
0.2496325878198022,0.7023272727272728,Tramo 1 (Canal)
0.31172050717723226,0.7136969696969698,Tramo 1 (Canal)
0.38084998779774526,0.7250666666666667,Tramo 1 (Canal)
0.4569985881626485,0.7364363636363638,Tramo 1 (Canal)
0.5401314227637662,0.7478060606060607,Tramo 1 (Canal)
0.6302027755791543,0.7591757575757576,Tramo 1 (Canal)
0.7271573795165179,0.7705454545454546,Tramo 1 (Canal)
0.8309314496811822,0.7819151515151517,Tramo 1 (Canal)
0.941453530828626,0.7932848484848486,Tramo 1 (Canal)
1.0586452016520325,0.8046545454545455,Tramo 1 (Canal)
1.182421666777332,0.8160242424242425,Tramo 1 (Canal)
1.3126922592852819,0.8273939393939396,Tramo 1 (Canal)
1.4493608709394872,0.8387636363636365,Tramo 1 (Canal)
1.5923263232633666,0.8501333333333334,Tramo 1 (Canal)
1.7414826896663556,0.8615030303030304,Tramo 1 (Canal)
1.896719576637368,0.8728727272727274,Tramo 1 (Canal)
2.0579223703803278,0.8842424242424243,Tramo 1 (Canal)
2.224972454012028,0.8956121212121213,Tramo 1 (Canal)
2.3977473994725553,0.9069818181818183,Tramo 1 (Canal)
2.5761211375396837,0.9183515151515153,Tramo 1 (Canal)
2.7599641087385565,0.9297212121212122,Tramo 1 (Canal)
2.9491433974585566,0.9410909090909092,Tramo 1 (Canal)
3.143522851202677,0.9524606060606062,Tramo 1 (Canal)
3.342963186579921,0.9638303030303031,Tramo 1 (Canal)
3.5473220833928716,0.9752000000000001,Tramo 1 (Canal)
3.756454267958379,0.9865696969696971,Tramo 1 (Canal)
3.9702115866205174,0.9979393939393941,Tramo 1 (Canal)
4.188443070264045,1.009309090909091,Tramo 1 (Canal)
4.410994990508421,1.020678787878788,Tramo 1 (Canal)
4.6377109081520524,1.032048484848485,Tramo 1 (Canal)
4.868431714341149,1.043418181818182,Tramo 1 (Canal)
5.102995664853418,1.054787878787879,Tramo 1 (Canal)
5.341238407812657,1.0661575757575759,Tramo 1 (Canal)
5.5829930050833365,1.077527272727273,Tramo 1 (Canal)
5.828089947533196,1.08889696969697,Tramo 1 (Canal)
6.0763571642956595,1.1002666666666667,Tramo 1 (Canal)
6.327620026110651,1.1116363636363638,Tramo 1 (Canal)
6.581701342771602,1.1230060606060608,Tramo 1 (Canal)
6.838421354657267,1.1343757575757576,Tramo 1 (Canal)
7.097597718277824,1.1457454545454546,Tramo 1 (Canal)
7.359045485715491,1.1571151515151517,Tramo 1 (Canal)
7.622577077789563,1.1684848484848485,Tramo 1 (Canal)
7.888002250722972,1.1798545454545457,Tramo 1 (Canal)
8.155128056032018,1.1912242424242425,Tramo 1 (Canal)
8.423758793301657,1.2025939393939395,Tramo 1 (Canal)
8.693695955444053,1.2139636363636366,Tramo 1 (Canal)
8.964738165967848,1.2253333333333334,Tramo 1 (Canal)
9.236681107707557,1.2367030303030304,Tramo 1 (Canal)
9.509317442375538,1.2480727272727274,Tramo 1 (Canal)
9.78243672020155,1.2594424242424243,Tramo 1 (Canal)
10.055825278814357,1.2708121212121215,Tramo 1 (Canal)
10.329266130394181,1.2821818181818183,Tramo 1 (Canal)
10.602538835981361,1.2935515151515153,Tramo 1 (Canal)
10.87541936566072,1.3049212121212124,Tramo 1 (Canal)
11.147679943150374,1.3162909090909092,Tramo 1 (Canal)
11.419088873101517,1.3276606060606062,Tramo 1 (Canal)
11.689410349156343,1.3390303030303032,Tramo 1 (Canal)
11.958404240507754,1.3504,Tramo 1 (Canal)
12.225825854346434,1.361769696969697,Tramo 1 (Canal)
12.491425671157307,1.373139393939394,Tramo 1 (Canal)
12.754949049324285,1.384509090909091,Tramo 1 (Canal)
13.016135894900463,1.3958787878787882,Tramo 1 (Canal)
13.274720291678817,1.407248484848485,Tramo 1 (Canal)
13.530430085827016,1.418618181818182,Tramo 1 (Canal)
13.782986418291808,1.429987878787879,Tramo 1 (Canal)
14.032103196887535,1.4413575757575758,Tramo 1 (Canal)
14.277486498397735,1.4527272727272729,Tramo 1 (Canal)
14.518833889059286,1.46409696969697,Tramo 1 (Canal)
14.755833649361081,1.4754666666666667,Tramo 1 (Canal)
14.988163886034254,1.486836363636364,Tramo 1 (Canal)
15.215491510253985,1.4982060606060608,Tramo 1 (Canal)
15.437471056163279,1.5095757575757578,Tramo 1 (Canal)
15.65374330752418,1.5209454545454548,Tramo 1 (Canal)
15.863933692131164,1.5323151515151516,Tramo 1 (Canal)
16.067650392923703,1.5436848484848487,Tramo 1 (Canal)
16.264482110578765,1.5550545454545457,Tramo 1 (Canal)
16.453995393408633,1.5664242424242425,Tramo 1 (Canal)
16.63573142468426,1.5777939393939395,Tramo 1 (Canal)
16.809202122159217,1.5891636363636366,Tramo 1 (Canal)
16.973885355225892,1.6005333333333336,Tramo 1 (Canal)
17.1292190150924,1.6119030303030304,Tramo 1 (Canal)
17.274593572093764,1.6232727272727274,Tramo 1 (Canal)
17.409342604793796,1.6346424242424245,Tramo 1 (Canal)
17.53273055987435,1.6460121212121215,Tramo 1 (Canal)
17.643936652224735,1.6573818181818183,Tramo 1 (Canal)
17.742033257076,1.6687515151515153,Tramo 1 (Canal)
17.825956226605385,1.6801212121212123,Tramo 1 (Canal)
17.894462987832938,1.6914909090909092,Tramo 1 (Canal)
17.946071454151387,1.7028606060606062,Tramo 1 (Canal)
17.978967441524382,1.7142303030303032,Tramo 1 (Canal)
17.99085750528516,1.7256000000000002,Tramo 1 (Canal)
17.99085750528516,1.7256000000000002,Tramo 2 (Transición)
18.31385823344962,1.7516081632653062,Tramo 2 (Transición)
18.636858961614077,1.7776163265306124,Tramo 2 (Transición)
18.95985968977854,1.8036244897959184,Tramo 2 (Transición)
19.282860417943,1.8296326530612246,Tramo 2 (Transición)
19.605861146107458,1.8556408163265306,Tramo 2 (Transición)
19.928861874271917,1.8816489795918367,Tramo 2 (Transición)
20.251862602436375,1.9076571428571427,Tramo 2 (Transición)
20.574863330600834,1.933665306122449,Tramo 2 (Transición)
20.897864058765297,1.9596734693877549,Tramo 2 (Transición)
21.220864786929756,1.985681632653061,Tramo 2 (Transición)
21.543865515094215,2.0116897959183673,Tramo 2 (Transición)
21.866866243258674,2.037697959183673,Tramo 2 (Transición)
22.189866971423136,2.063706122448979,Tramo 2 (Transición)
22.512867699587595,2.0897142857142854,Tramo 2 (Transición)
22.835868427752054,2.115722448979591,Tramo 2 (Transición)
23.158869155916513,2.1417306122448974,Tramo 2 (Transición)
23.48186988408097,2.1677387755102036,Tramo 2 (Transición)
23.80487061224543,2.1937469387755097,Tramo 2 (Transición)
24.12787134040989,2.2197551020408155,Tramo 2 (Transición)
24.450872068574352,2.2457632653061217,Tramo 2 (Transición)
24.77387279673881,2.271771428571428,Tramo 2 (Transición)
25.09687352490327,2.2977795918367336,Tramo 2 (Transición)
25.41987425306773,2.32378775510204,Tramo 2 (Transición)
25.74287498123219,2.349795918367346,Tramo 2 (Transición)
26.06587570939665,2.375804081632652,Tramo 2 (Transición)
26.38887643756111,2.4018122448979584,Tramo 2 (Transición)
26.711877165725568,2.427820408163264,Tramo 2 (Transición)
27.034877893890027,2.4538285714285704,Tramo 2 (Transición)
27.357878622054486,2.479836734693876,Tramo 2 (Transición)
27.680879350218945,2.5058448979591823,Tramo 2 (Transición)
28.003880078383407,2.5318530612244885,Tramo 2 (Transición)
28.326880806547866,2.5578612244897947,Tramo 2 (Transición)
28.649881534712325,2.583869387755101,Tramo 2 (Transición)
28.972882262876787,2.6098775510204066,Tramo 2 (Transición)
29.295882991041246,2.635885714285713,Tramo 2 (Transición)
29.618883719205705,2.661893877551019,Tramo 2 (Transición)
29.941884447370164,2.6879020408163248,Tramo 2 (Transición)
30.264885175534623,2.713910204081631,Tramo 2 (Transición)
30.587885903699082,2.739918367346937,Tramo 2 (Transición)
30.91088663186354,2.7659265306122434,Tramo 2 (Transición)
31.233887360028,2.7919346938775496,Tramo 2 (Transición)
31.556888088192462,2.8179428571428553,Tramo 2 (Transición)
31.87988881635692,2.843951020408161,Tramo 2 (Transición)
32.20288954452138,2.8699591836734673,Tramo 2 (Transición)
32.52589027268584,2.8959673469387734,Tramo 2 (Transición)
32.8488910008503,2.9219755102040796,Tramo 2 (Transición)
33.17189172901476,2.947983673469386,Tramo 2 (Transición)
33.49489245717922,2.973991836734692,Tramo 2 (Transición)
33.81789318534368,2.999999999999998,Tramo 2 (Transición)
33.81789318534368,2.999999999999998,Tramo 3 (Orificio)
34.173868866415155,3.0309087855941157,Tramo 3 (Orificio)
34.53155055825778,3.0621677404723466,Tramo 3 (Orificio)
34.890934777267255,3.093780088641986,Tramo 3 (Orificio)
35.25201808205326,3.1257490638969436,Tramo 3 (Orificio)
35.61479707263419,3.1580779097963245,Tramo 3 (Orificio)
35.97926838965407,3.1907698796434403,Tramo 3 (Orificio)
36.34542871362087,3.223828236465243,Tramo 3 (Orificio)
36.71327476416526,3.257256252992159,Tramo 3 (Orificio)
37.08280329931945,3.291057211638344,Tramo 3 (Orificio)
37.454011114814904,3.325234404482301,Tramo 3 (Orificio)
37.82689504339885,3.3597911332479033,Tramo 3 (Orificio)
38.20145195416838,3.3947307092857715,Tramo 3 (Orificio)
38.57767875192208,3.430056453555031,Tramo 3 (Orificio)
38.9555723765281,3.4657716966054055,Tramo 3 (Orificio)
39.33512980230846,3.5018797785596734,Tramo 3 (Orificio)
39.71634803743889,3.538384049096455,Tramo 3 (Orificio)
40.099224123363726,3.5752878674333277,Tramo 3 (Orificio)
40.48375513422551,3.6125946023102853,Tramo 3 (Orificio)
40.86993817630841,3.6503076319734813,Tramo 3 (Orificio)
41.25777038749554,3.688430344159311,Tramo 3 (Orificio)
41.647248936739345,3.7269661360787856,Tramo 3 (Orificio)
42.038371023544855,3.765918414402201,Tramo 3 (Orificio)
42.4311338774652,3.8052905952440996,Tramo 3 (Orificio)
42.82553475760933,3.845086104148528,Tramo 3 (Orificio)
43.22157095216108,3.885308376074544,Tramo 3 (Orificio)
43.619239777909726,3.9259608553820327,Tramo 3 (Orificio)
44.01853857979131,3.967046995817756,Tramo 3 (Orificio)
44.41946473044075,4.0085702605017,Tramo 3 (Orificio)
44.82201562975389,4.0505341219136355,Tramo 3 (Orificio)
45.22618870445993,4.092942061879979,Tramo 3 (Orificio)
45.63198140770315,4.135797571560859,Tramo 3 (Orificio)
46.03939121863412,4.179104151437437,Tramo 3 (Orificio)
46.44841564201024,4.222865311299486,Tramo 3 (Orificio)
46.85905220780471,4.267084570233163,Tramo 3 (Orificio)
47.27129847082455,4.311765456609054,Tramo 3 (Orificio)
47.68515201033648,4.3569115080704,Tramo 3 (Orificio)
48.10061042970126,4.40252627152157,Tramo 3 (Orificio)
48.51767135601577,4.448613303116742,Tramo 3 (Orificio)
48.936332439762694,4.495176168248798,Tramo 3 (Orificio)
49.35659135446774,4.542218441538415,Tramo 3 (Orificio)
49.778445796363954,4.589743706823373,Tramo 3 (Orificio)
50.20189348406325,4.637755557148061,Tramo 3 (Orificio)
50.626932158234595,4.68625759475318,Tramo 3 (Orificio)
51.05355958128893,4.735253431065621,Tramo 3 (Orificio)
51.481773537070566,4.784746686688566,Tramo 3 (Orificio)
51.91157183055482,4.834740991391738,Tramo 3 (Orificio)
52.34295228755194,4.885239984101878,Tramo 3 (Orificio)
52.77591275441672,4.936247312893353,Tramo 3 (Orificio)
53.21045109776418,4.987766634978973,Tramo 3 (Orificio)
53.646565204190765,5.039801616700978,Tramo 3 (Orificio)
54.08425298000113,5.092355933522185,Tramo 3 (Orificio)
54.52351235094025,5.145433270017312,Tramo 3 (Orificio)
54.96434126193071,5.199037319864464,Tramo 3 (Orificio)
55.40673767681521,5.253171785836777,Tramo 3 (Orificio)
55.85069957810393,5.30784037979423,Tramo 3 (Orificio)
56.29622496672682,5.363046822675613,Tramo 3 (Orificio)
56.7433118617905,5.418794844490638,Tramo 3 (Orificio)
57.19195830033989,5.475088184312216,Tramo 3 (Orificio)
57.64216233712432,5.531930590268885,Tramo 3 (Orificio)
58.093922044367766,5.589325819537361,Tramo 3 (Orificio)
58.54723551154379,5.647277638335268,Tramo 3 (Orificio)
59.00210084515419,5.705789821913974,Tramo 3 (Orificio)
59.458516168512155,5.76486615455161,Tramo 3 (Orificio)
59.916479621529035,5.824510429546193,Tramo 3 (Orificio)
60.37598936050509,5.884726449208886,Tramo 3 (Orificio)
60.83704355792416,5.945518024857418,Tramo 3 (Orificio)
61.29964040225178,6.006888976809605,Tramo 3 (Orificio)
61.76377809773715,6.068843134377023,Tramo 3 (Orificio)
62.22945486421851,6.131384335858807,Tramo 3 (Orificio)
62.696668936931786,6.194516428535557,Tramo 3 (Orificio)
63.16541856632291,6.258243268663378,Tramo 3 (Orificio)
63.63570201786326,6.3225687214680635,Tramo 3 (Orificio)
64.10751757186824,6.387496661139364,Tramo 3 (Orificio)
64.58086352331912,6.453030970825398,Tramo 3 (Orificio)
65.05573818168783,6.519175542627159,Tramo 3 (Orificio)
65.532139870765,6.5859342775931875,Tramo 3 (Orificio)
66.01006692849037,6.653311085714267,Tramo 3 (Orificio)
66.48951770678678,6.721309885918327,Tramo 3 (Orificio)
66.9704905713964,6.789934606065394,Tramo 3 (Orificio)
67.45298390171989,6.859189182942673,Tramo 3 (Orificio)
67.93699609065843,6.929077562259749,Tramo 3 (Orificio)
68.4225255444579,6.99960369864385,Tramo 3 (Orificio)
68.90957068255616,7.0707715556352735,Tramo 3 (Orificio)
69.3981299374324,7.142585105682859,Tramo 3 (Orificio)
69.8882017544592,7.215048330139605,Tramo 3 (Orificio)
70.37978459175696,7.288165219258374,Tramo 3 (Orificio)
70.87287692005037,7.361939772187653,Tramo 3 (Orificio)
71.36747722252791,7.436375996967508,Tramo 3 (Orificio)
71.86358399470264,7.511477910525516,Tramo 3 (Orificio)
72.36119574427595,7.5872495386728875,Tramo 3 (Orificio)
72.86031099100322,7.663694916100641,Tramo 3 (Orificio)
73.36092826656134,7.740818086375839,Tramo 3 (Orificio)
73.86304611441889,7.818623101938007,Tramo 3 (Orificio)
