Caudal (Q) [m3/s],Tirante (H) [m],Tramo
0.0,0.6000000000000001,Tramo 1 (Canal)
0.00224161100063,0.611369696969697,Tramo 1 (Canal)
0.0100058283626944,0.622739393939394,Tramo 1 (Canal)
0.0239457705594702,0.634109090909091,Tramo 1 (Canal)
0.0443973912821935,0.645478787878788,Tramo 1 (Canal)
0.0715715269168524,0.6568484848484849,Tramo 1 (Canal)
0.1056072266702896,0.6682181818181819,Tramo 1 (Canal)
0.1465958276597544,0.6795878787878789,Tramo 1 (Canal)
0.1945941475569573,0.6909575757575759,Tramo 1 (Canal)
0.2496325878198022,0.7023272727272728,Tramo 1 (Canal)
0.3117205071772322,0.7136969696969698,Tramo 1 (Canal)
0.3808499877977452,0.7250666666666667,Tramo 1 (Canal)
0.4569985881626485,0.7364363636363638,Tramo 1 (Canal)
0.5401314227637662,0.7478060606060607,Tramo 1 (Canal)
0.6302027755791543,0.7591757575757576,Tramo 1 (Canal)
0.7271573795165179,0.7705454545454546,Tramo 1 (Canal)
0.8309314496811822,0.7819151515151517,Tramo 1 (Canal)
0.941453530828626,0.7932848484848486,Tramo 1 (Canal)
1.0586452016520325,0.8046545454545455,Tramo 1 (Canal)
1.182421666777332,0.8160242424242425,Tramo 1 (Canal)
1.312692259285282,0.8273939393939396,Tramo 1 (Canal)
1.4493608709394872,0.8387636363636365,Tramo 1 (Canal)
1.5923263232633666,0.8501333333333334,Tramo 1 (Canal)
1.7414826896663556,0.8615030303030304,Tramo 1 (Canal)
1.896719576637368,0.8728727272727274,Tramo 1 (Canal)
2.057922370380328,0.8842424242424243,Tramo 1 (Canal)
2.224972454012028,0.8956121212121213,Tramo 1 (Canal)
2.397747399472556,0.9069818181818184,Tramo 1 (Canal)
2.576121137539684,0.9183515151515153,Tramo 1 (Canal)
2.7599641087385565,0.9297212121212122,Tramo 1 (Canal)
2.9491433974585566,0.9410909090909092,Tramo 1 (Canal)
3.143522851202677,0.9524606060606062,Tramo 1 (Canal)
3.342963186579921,0.9638303030303031,Tramo 1 (Canal)
3.547322083392872,0.9752,Tramo 1 (Canal)
3.756454267958379,0.9865696969696972,Tramo 1 (Canal)
3.970211586620517,0.997939393939394,Tramo 1 (Canal)
4.188443070264045,1.009309090909091,Tramo 1 (Canal)
4.410994990508421,1.020678787878788,Tramo 1 (Canal)
4.6377109081520524,1.032048484848485,Tramo 1 (Canal)
4.868431714341149,1.043418181818182,Tramo 1 (Canal)
5.102995664853418,1.054787878787879,Tramo 1 (Canal)
5.341238407812657,1.066157575757576,Tramo 1 (Canal)
5.5829930050833365,1.077527272727273,Tramo 1 (Canal)
5.828089947533196,1.08889696969697,Tramo 1 (Canal)
6.07635716429566,1.1002666666666667,Tramo 1 (Canal)
6.327620026110651,1.1116363636363638,Tramo 1 (Canal)
6.581701342771602,1.1230060606060608,Tramo 1 (Canal)
6.838421354657267,1.1343757575757576,Tramo 1 (Canal)
7.097597718277824,1.1457454545454546,Tramo 1 (Canal)
7.359045485715491,1.1571151515151517,Tramo 1 (Canal)
7.622577077789563,1.1684848484848485,Tramo 1 (Canal)
7.888002250722972,1.1798545454545455,Tramo 1 (Canal)
8.155128056032018,1.1912242424242423,Tramo 1 (Canal)
8.423758793301657,1.2025939393939395,Tramo 1 (Canal)
8.693695955444053,1.2139636363636366,Tramo 1 (Canal)
8.964738165967848,1.2253333333333334,Tramo 1 (Canal)
9.236681107707556,1.2367030303030304,Tramo 1 (Canal)
9.509317442375538,1.2480727272727274,Tramo 1 (Canal)
9.78243672020155,1.2594424242424245,Tramo 1 (Canal)
10.055825278814355,1.2708121212121215,Tramo 1 (Canal)
10.32926613039418,1.2821818181818183,Tramo 1 (Canal)
10.60253883598136,1.2935515151515151,Tramo 1 (Canal)
10.87541936566072,1.3049212121212124,Tramo 1 (Canal)
11.147679943150374,1.3162909090909092,Tramo 1 (Canal)
11.419088873101517,1.3276606060606062,Tramo 1 (Canal)
11.689410349156343,1.3390303030303032,Tramo 1 (Canal)
11.958404240507754,1.3504,Tramo 1 (Canal)
12.225825854346434,1.361769696969697,Tramo 1 (Canal)
12.491425671157309,1.373139393939394,Tramo 1 (Canal)
12.754949049324283,1.384509090909091,Tramo 1 (Canal)
